,Article Index,Part,Percentage
2631,113271,So much has changed since I left Chelsea for the south coast 15,40
1575,11430,PC World,20
1918,38229,;strong;Letters:;/strong; More from the,80
23,31201,"Sometimes you should say ""no"" when your lender gives you more",80
281,91888,"As they keep reminding themselves, that goal remains attainable. Yet one day after",40
726,86150,DAVE WANNSTEDT resigned today as head coach of the Miami Dolphins after the team,40
1365,11603,WASHINGTON - Deutsche Bank Securities has agreed to,20
916,64559,Following is the Globe Top 20 in EMass for girls' soccer. No. Team Record Last 1. Belmont 12-0-1 1 2. Oliver Ames 11-1-0 2,40
4325,61554,"MOJAVE, California -- Nobody can",20
1991,2355,Their supposed new pitching staff ace is on the disabled list and their late-inning bullpen,40
2868,106469,I don 39;t get to the office all that often these days -- the beauty of this job is you can do it in your bathrobe while eating oatmeal and keeping one eye on The Price is Right -- so,80
4205,78872,Losses by Florida State,20
3818,95382,"NEW YORK, Nov. 18. - Defending World Cup football champions Brazil suffered the most shocking result of the day, but",80
4148,35534,Jordan have confirmed that Timo Glock will replace Giorgio Pantano for this weekend 39;s Chinese GP as the team has,80
3124,111168,The UK 39;s global trade deficit in goods widened to a nine-month high in October as imports rose to a record and exports to countries outside of the European Union declined.,100
4514,95144,"EBay has given notice that from now on, racially offensive terms may be used only if they are part of a book, movie or other product title.",100
2685,41976,US Airways Group Inc. met with two,20
374,49578,"NEW YORK - A drop in oil prices and reassuring words from the Federal Reserve sent stocks higher Monday, raising hopes that Wall Street would be able to extend its recent rally.    Investors were cheered by a dip in oil prices, which backed off the  $50 per barrel mark at Friday's close of trading...",100
2722,64300,The British oil exploration firm Cairn Energy may owe the Indian government more than $6.9m (3.8m),60
1473,49015,"AFP - Poland will pull all of its troops out of Iraq by the end of 2005, with Defense Minister Jerzy Szmajdzinski for the first time setting a firm",80
170,71915,The Cassini spacecraft is heading for,20
2763,8692,Reuters - Wall Street was expected to rise on Tuesday as easing crude oil prices soothed fears of a squeeze on earnings and on a thin corporate menu investors will be able to chew,80
566,47351,Arsenal captain Patrick Vieira has admitted that he had,40
1288,53795,The surge of violence in the Middle East spilled across Israel 39;s southern border into Egypt last night as more than 30 holidaymakers were killed and scores more injured in a devastating series of,80
4952,72589,Sir Mark Thatcher's lawyers are to argue for his right to silence over a call,60
2652,113388,RIVAL factions in Congos postwar army fought gun battles on the vast nations eastern border,60
4394,55873,"It's a relatively recent story, and a familiar one. The Red Sox had two big sluggers in the middle of their lineup -- one a lefthanded hitter, the other a righty, both .300 hitters, one a former MVP, one who would soon be named one. They were the linchpins of a Sox team that had high hopes of playing deep ...",100
1121,105050,"House prices across the UK will come to a virtual standstill in 2005, the Nationwide Building Society predicted",40
2994,32002,VIENNA - The UN atomic watchdog agency demanded Iran suspend all uranium enrichment activities and gave it until November comply with the order.,100
344,108019,Chipmaker Intel boosts its prediction of sales for the final three months of the year to  $9.3-9.5bn.,100
229,11840,"Explosive of a kind used by Chechen rebels has been found in one of two airliners that crashed simultaneously, Russian investigators said, making it look ever likelier that the disaster was a political attack.",100
3316,43539,The scientists behind Dolly the sheep apply for a license to,40
4024,116631,"AFP - The research and development costs of Airbus's new A380 super-jumbo will be 1.45 billion euros (1.9 billion dollars) more than planned, the co-chairman of the European Aeronautic Defence and Space Company, Rainer Hertrich, revealed.",100
4277,76540,The victims included the jeep 39;s driver and another civilian accompanying the soldiers who were headed,60
1189,95461,AP - Indiana Pacers forward Jonathan Bender's chronically injured left knee has taken yet another turn for the worse.,100
2634,113271,"So much has changed since I left Chelsea for the south coast 15 months ago. For instance, only two players from the starting XI of my last game are still there - and one ",100
3963,45017,Ian Botham has urged the Government to step in and instruct the England cricket team to stay away from Zimbabwe this winter. The former England skipper believes the oneday series arranged for,80
2150,38853,Martha Stewart has had some,20
3814,14743,"For Americans, it 39;s just as well that the Olympics came to a conclusion Sunday. Over the weekend, the ends of America 39;s almost ",100
1485,46806,"NEW YORK Oct. 1, 2004 - Manufacturing activity",20
3746,95900,WASHINGTON -- A veteran Food and Drug Administration safety officer yesterday told a Senate hearing inquiring into,40
3542,20614,"Scot Wingo, author of eBay Strategies: 10 Proven Methods to Maximize Your eBay Business, will answer reader questions about the",60
2594,71899,"Despite widespread attention, Ken Dunham, Director of Malicious Code at iDefense, characterizes the Linux Trojan as a low threat.  quot;It looks like there was a low volume of e-mails that spread over a period of several days, quot; he said.",100
2819,41575,"Targeted for the teen and young-adult consumer markets, the Ogo will retail for  $99 following a  $30 mail-in rebate. Its clamshell design includes a 4K color screen and full Qwerty keypad with ",100
438,98008,"Hajime Meshiai, an 11-time winner on the Japanese PGA Tour, shot 69 Sunday to retain a share of the lead after five rounds of",80
2125,79615,Uruguay tapped Tabare Vazquez,20
3862,72341,"Australias third-biggest bank said one-off factors, such as the loss of earnings from the sale of its London project finance business and measures to",60
2007,64868,"Wells Fargo amp; Co., the fifth-largest bank in the United States, said Tuesday that third-quarter earnings increased 12 percent on",60
2950,34872,Reuters - Some Mexican churches,20
763,71777,The two companies join forces to beat out the competition. Also: Sprint to debut services to help companies manage cell phones issued to employees hellip;.,80
189,66050," NEW YORK (Reuters) - J.P. Morgan Chase   Co. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.N target=/stocks/quickinfo/fullquote"";JPM.N;/A; posted  lower third-quarter earnings on Wednesday, missing analyst  expectations, as costs from its July merger with Bank One Corp.  and anemic fixed-income trading revenue hurt profits.",100
3820,96023,LONDON : British music group EMI,20
1205,46991,"BERKELEY, Calif.--Microsoft Chairman Bill Gates kicked",20
4815,67172,VALENCIA - Inter bring home all three points,20
2351,35446,"CHICAGO - The health benefits of regular walking may include helping prevent mental decline and Alzheimer's disease, research in patients aged 70 and up has found,",40
696,105138,"UK News, LONDON - The dollar won a reprieve against other major currencies on Tuesday, bouncing",40
3084,73581,Intel is working on a device management technology that could allow IT departments to use existing management software to bring a slew of wireless devices under the IT department umbrella.,100
4482,9309,The biggest takeover battle in Japanese history got even bigger as the Sumitomo Mitsui Financial Group sought to disrupt,60
3143,6353,It is now official: The rich are getting richer and the poor poorer. Last week 39;s Congressional Budget Office tax-burden study confirms what the eye can see: John,80
458,24969,"(Article Central) Microsoft has doubled the time that businesses can block Windows XP Service Pack 2 from downloading automatically, giving them until",80
1627,51598,"Dale Earnhardt Jr. cursed on a nationally televised NASCAR broadcast on Sunday, and it cost him",60
254,111558,"The EU Council of Ministers has today approved plans for Safer Internet Plus - a programme designed to make the internet safer for children by tackling illegal, unwanted and harmful content -ncluding spam  - to promote awareness.",100
2154,38853,Martha Stewart has had some good news just before she heads off to jail - a new contract from her company worth more than  $2ma year.,100
2324,25191,"AFP - Fifty days out from the US presidential election, the rhetoric is becoming nastier between George W. Bush and Democratic challenger John Kerry, as the US president's lead appears to be solidifying.",100
4833,44746,"Washington, Sept. 30.(UNI): The expansion of the global economy could hit a 30-year record in 2004 but will likely slide in 2005 as a result of higher oil prices and other",80
1144,31287,The Web conferencing leader will release a product for sales calls that watches clients to see whether they pay attention.,100
2411,66317,AP - Frustrated with meager salaries that have not kept,40
4670,57019,and it has caught the,20
3515,106653,NEW YORK (Reuters) - The price,20
2069,3104,"Reuters - A few decades ago, the earliest warning Floridians would have had of a hurricane would have been black clouds on the horizon. Now people are complaining after Hurricane Charley hit shore at a point just 60 miles off from the track projected by meteorologists.",100
3511,48624,"Tokyo stocks surged at the open on Monday, fueled by",40
552,28832,"In most of western Europe, easily more than half the adults are overweight, and in the United States two-thirds are fat. Why, then, are some",60
2450,3366,The Greek sprinters Kostantinos Kenteris,20
855,21514,"BESLAN, Russia (Reuters) - Russia's top general",20
4529,27842,"Expressing impatience with the Securities and Exchange Commission, lawmakers said in a hearing yesterday that they will act to force stronger oversight of the influential credit rating business if the agency doesn't soon move on its own.",100
4428,54181,The giant Diamond synchrotron being built in England is to receive a,80
2774,56717,FRANK Lowy 39;s Westfield Group dominates the listed property trust sector by size and remains a favoured stock among brokers. After the  $27 billion merger of the three Westfield trusts earlier ,100
3375,27157,Big Blue also,20
3322,59717,The goal for the Phillies is to find a manager who can take a disappointing winning team to the next level -- the playoffs.,60
1044,83752,"If yesterday's MSTCA Invitational at Franklin Park was a warmup for next week's Eastern Massachusetts championships, then Haverhill's Jefferson Welch should consider himself ready.",100
1043,83752,"If yesterday's MSTCA Invitational at Franklin Park was a warmup for next week's Eastern Massachusetts championships, then Haverhill's Jefferson",80
1329,28031,SYDNEY - A deadline set by supposed hostage-takers in Iraq for Australian Prime Minister John Howard to announce a withdrawal of Australian forces from their country passed Wednesday with no announcement by Howard and no word on the hostages.,100
4731,59007,By Reuters. The Gannett Company yesterday reported an 11 percent,40
95,106575,No sooner than weve all got used,20
4986,25586,AstraZeneca shares have fallen more than 6 percent after a US,40
2577,73555,SPACE.com - Newly discovered galactic highways cut across the Milky Way at odd,60
3917,33215,"BLOOMFIELD TOWNSHIP, Mich. -- They were hoping for a sporting miracle yesterday, only it didn't materialize.",60
97,106575,"No sooner than weve all got used to the idea of 3G services in the UK, mm02 has teamed up with NTT",60
2733,118970,"AP - U.N. Secretary-General Kofi Annan, fending off Republican demands for his resignation over alleged corruption, said Thursday he will expand U.N. support for Iraqi elections if need be. He said he was not offended that President Bush did",80
182,76062,"Yahoo Inc. has followed Google into the mobile-search arena, launching a service that allows",60
3620,903,Chicago Tribune - Pop stars are no strangers to bad,20
4467,9863,"Microsoft Operations Manager 2005 offers new features such as graphical systems views and enhanced reporting tools,",60
1766,89088,"MILLIYET- Following Palestinian President Yasser Arafats death, the transition period is",40
4919,73373,"Dell has launched the Inspiron 9200, the company 39;s first notebook with a 17-inch wide-aspect screen, providing customers a viewing area 26 percent larger than a 15.",100
977,13039,AFP - A Yemeni was sentenced to death and 14 others to jail over the 2002 bombing of the French supertanker Limburg,60
2908,67452,"NEW YORK (Reuters) - U.S. technology stocks rose on Thursday as profits from eBay Inc. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=EBAY.O target=/stocks/quickinfo/fullquote"";EBAY.O;/A;, the world's largest online",80
4875,20976,Qantas shares were this morning,20
3280,72776,PARIS (AFP) - The 2004,20
1308,118047,"In 2003-04, the Bucks won three of their four contests with the Bulls. Overall, the home team has won 13 of the last 14 meetings. Milwaukee has won four of six and",80
3564,47632,Ziff Davis - The competition between open-source and proprietary software promises to be the most significant force in IT over the next decade.,100
2970,50818,"MOJAVE, Calif., Oct. 4--The PM.Zone",20
1508,64975,"Iraqi officials say insurgents fired mortars at an Iraqi National Guard headquarters in al-Mushahida, north of Baghdad Tuesday. Iraq 39;s Defense Ministry says four",80
1703,93467,"TAMPA, Fla. (Sports Network) - Tyler Palko threw for a career-high 411 yards and five touchdowns, leading 19th-ranked Pittsburgh to a 43-14 drubbing of",80
2051,95028,WASHINGTON - Hugely popular internet search engine Google,40
4362,2476,AP - A large explosion hit central Baghad on Wednesday close to a convention center where a key,60
3188,45506,"InfoWorld - Fresh from introducing a major upgrade to the Java platform, Sun Microsystems officials on Thursday revealed some details of the next release of Java, code-named",80
244,85310,"November 08, 2004 - AnandTech have slapped up a great feature and review on ATI 39;s new chipset for AMD processors, which seems to give Nvidia a run for their money.",100
2405,37198,"US regulators, who rejected",20
1069,104904,"Patriotic Americans Boycotting Anti-American Hollywood has sent letters threatening a boycott against radio stations playing the new Skinny Puppy album, The Greater Wrong of the Right.",100
760,71777,The two companies join forces to,20
2292,40402,Iranian students interrupt a speech by President Khatami to,60
3803,47390,There were some skeptics wondering if Giants manager Felipe Alou was making the right decision by putting veteran Kirk Rueter on the,80
1748,85095,Reuters - Microsoft Corp. and cable television provider Comcast Corp. said on Monday they would begin deploying set-top boxes powered,80
2569,41846,"Shawn Fanning, the founder of the original Napster peer-to-peer (P2P) file-sharing network, is set to unveil his new music download-related service called SNOCAP this week.",100
1245,25248,"AP - Rosie Gacioch, whose",20
2204,65361,Spanish police have arrested eight suspected Islamic militants. Authorities say they were planning to carry out a terrorist attack in the center of the capital.,100
4910,20899,Shares of drugstore chain Rite Aid,20
693,94294,"Reuters - The U.N. Security Council, on a high-profile visit to the Kenyan capital, expects Sudan and its southern opposition on Thursday to promise to complete by Dec. 31 a",80
4287,3322,AP - Heavy rains washed out Wednesday night's game between the New York,60
4486,28457,We do not have to believe every cynic who says that all,40
2904,78803,"A few months ago I wrote about Web browser hijacking. It 39;s a problem a lot of computer users are facing these days. You open your Internet Explorer, but instead of being directed to your homepage, you 39;re sent to some search engine you 39;ve never heard of.",100
303,79646,"Arsenal will be playing against Panathinaikos on Tuesday night, in a match valid for Group E of the Champions League. Arsene Wenger is convinced that a win",80
1169,24520,"Colin Montgomerie believes Europe 39;s team spirit can defeat USA - and their partisan fans - when the Ryder Cup starts this week in Oakland Hills, Michigan.",100
2773,56717,FRANK Lowy 39;s Westfield Group dominates the listed property trust sector by size and remains a favoured stock among brokers. After the $27 billion,80
4437,66389,NewsFactor - Microsoft (Nasdaq: MSFT) has announced that the shipping date for SQL Server 2005 has been delayed -- a development bound,60
4463,115713,"Microsoft MSN Desktop Search Is Out In Beta As expected, Microsoft has finally released a beta of their Desktop Search software. It is integrated with their Browser Toolbar set and is now labeled MSN Toolbar Suite Beta. The download size is huge",80
1840,99117,"SAN FRANCISCO (Reuters) - TiVo Inc.;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TIVO.O",20
403,101602,Prime Minister John Howard said Friday he is unlikely to sign a nonaggression pact with Australia 39;s Asian neighbors. The issue is reportedly causing,80
1805,43395,As a standards-setting body readies a protocol for,20
1899,83623, UNITED NATIONS (Reuters) - France readied a U.N. resolution  that seeks an arms embargo on the Ivory Coast after nine French  soldiers and an American civilian were killed in a government  bombing raid.,100
58,52284,"RS Investment Management agreed to pay $30 million to settled allegations it allowed quot;excessive quot; market timing in its mutual funds, New York",80
1213,90064,"Soaring childhood obesity rates will increase diabetes rates across the globe,",80
3613,68485,WASHINGTON -- This year's flu vaccine shortage could cost the nation up to $20 billion in lost productivity -- almost twice as much as in a typical year -- depending on the,80
1814,115970,"Because of speed restrictions, mobile devices often have trouble downloading Web pages that are designed to provide the optimum experience for high-speed Internet users.",100
1978,84702,"Powered by its SUSE Linux subsidiary, Linux Desktop 9 includes the usual suspects of the Linux desktop, including Mozilla 39;s Firefox Web browser, the Gaim instant messaging client, the",80
4009,8714," LONDON (Reuters) - The dollar paused on Tuesday after a  broad-based rally in the previous session as investors waited  to see if forthcoming data would reinforce the Federal  Reserve's optimism in the U.S. recovery.  Upbeat comments on  the U.S. economy from central bankers Robert McTeer and Ben  Bernanke on Monday bolstered the greenback across the board,  lifting it a two-week high against the euro and a one-week high  against the yen in early trade.",100
2882,38533,Kenya has met all economic conditions set by the International Monetary Fund (IMF) which could result in the release of a,60
3365,71264,Northern Ireland drug company Warner,20
2699,23576,"Alaska Airlines closed its Oakland maintenance base Thursday and fired the facility 39;s 340 employees, as the troubled carrier announced cost- cutting moves to save up to  $35 million per year.",100
202,46205,"Pharmaceutical titan Merck amp; Co. Inc. yesterday pulled its blockbuster arthritis drug Vioxx off the market, citing safety concerns, thereby triggering a massive selloff",60
1514,93823,"East Carolina football coach John Thompson will step down at the end of the season, a school source told The Associated Press on Wednesday.",100
1183,94925,"LONDON -- Ofcom today published its proposals to support the growth of greater competition, innovation and investment certainty",80
238,43859,"Sure, the device can record movies and anything else broadcast on TV. But apparently sex is what pushes",80
4182,58265,"InfoWorld - Hoping to both bolster resources available to its network of business partners as well as expand its number of partners, IBM on Tuesday introduced services and support programs",60
666,7897,Elaine Youngs and three-time Olympian Holly McPeak entered the semifinal of the,40
3049,94231,Reuters - Pacific Rim trading nations said on Wednesday they should pool their influence to breathe new life into talks to free up world trade.,100
4683,86160,Development tools for upcoming upgrade to Unix operating system will,80
4825,43774,"The deal, if consummated, would give",20
3391,70645,"AP - Shredding what had been the NFL's leading defense against the rush,",40
299,83843,"One of the world 39;s top thinkers on climate change, Eileen Claussen, says more than just the Kyoto Protocol is needed to tackle the issue.",100
3626,12335,Reuters - Louis Vuitton on Friday lost a bag battle to stop competitors from imitating,40
4331,5857,ATHENS (Reuters) - Sarunas Jasikevicius went on a shooting spree in the last three,40
2951,34872,Reuters - Some Mexican churches are using state-of-the-art technology developed by,40
2938,15522,"Norwegian browser developer Opera Software ASA has developed a product to run on Microsoft Corp. 39;s Windows Mobile operating system,",80
4373,55316,"At age 42, Roger Clemens has done it all for the Astros this season. Tomorrow, he will do something he hasn 39;t done all season",80
2008,64868,"Wells Fargo amp; Co., the fifth-largest bank in the United States, said Tuesday that third-quarter earnings increased 12 percent on strong consumer lending growth, but failed to",80
4946,101365,"The video is dead. Its official, although I imagine the mourning period will go on for",40
4106,113492,"When Charlie Weis puts on his headset on the Patriots sideline today, he'll hope the best academic high school football",40
4145,35534,Jordan have confirmed that Timo,20
2972,50818,"MOJAVE, Calif., Oct. 4--The PM.Zone was on the scene again today to watch aeronautical engineer and",60
442,77506,"Oil prices bounced higher Friday following two days of sharp declines, but traders said they expect prices to move lower again",60
4771,11283,Krispy Kreme Doughnuts stunned investors on Thursday with disappointing earnings,40
2235,96289,Reuters - U.S. Treasuries,20
1956,61300,"Health Management Associates Inc., which operates acute care hospitals in rural areas, lowered",40
1952,66304,"Toshiba will market laptops with HD-DVD drives by the end of next year, becoming one",60
3024,14588,"NEW YORK - U.S stock futures were moving into negative territory early Monday at the start of a quiet earnings and a noisy political week.    Dow Jones futures were down 28 points recently, while Nasdaq futures declined 8 points and S P futures were down 3.4 points...",100
2262,74346,"NEW YORK, October 27 (newratings.com) - Apple Computer (AAPL.NAS) has introduced a new version of its popular iPod digital",60
42,116149,"BOSTON, Dec. 14 - Most New Englanders are walking around with more cheer and about $20 less in their pockets this holiday season. They",60
3429,96775,"AP - In the shadow of Bill Clinton and his gleaming new presidential library, leaders of the struggling Democratic Party held informal discussions this week of how to come back from their devastating Election Day losses.",100
3301,20311,HAMILTON (CP) - Andre Rison has been to five NFL Pro Bowls and owns a Super,40
155,25296,Democracy candidates picked,20
649,33340,"Cable  amp; Wireless plc (NYSE: CWP - message board) is significantly ramping up its investment in local loop unbundling (LLU) in the UK, and it plans to spend up to 85 million ( $152.",100
2797,93680,"NEW YORK (Reuters) - SBC Communications ;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=SBC.N qtype=sym infotype=info qcat=news"";SBC.N;/A; on Wednesday said it reached a 10-year, $400 million",60
1131,40453,"Australia 39;s Karrie Webb shot a terrific final round of seven-under 64, but it",40
3234,68767,"British-Iraqi hostage Margaret Hassan made an emotional appeal for British forces to withdraw from Iraq, in a videotape broadcast on Arabic television channel Al Jazeera on Friday.",100
2021,80387,Armed gunmen have abducted a Lebanese-American contractor from his Baghdad,40
3198,81107,"We know by now there are three Shaquille O 39;Neals, only one of them formidable. There is the",80
4451,7442,AFP - African Union-sponsored talks on the conflict,40
2816,41575,"Targeted for the teen and young-adult consumer markets, the Ogo will retail",40
186,66050,"NEW YORK (Reuters) - J.P. Morgan Chase Co. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.N target=/stocks/quickinfo/fullquote"";JPM.N;/A; posted lower third-quarter",40
4687,90271,SEOUL : Tens of thousands of workers have rallied here to protest a government reform bill aimed at stopping union militancy and securing flexible,60
323,15892,Tommy Hilfiger is the latest exec to get a reality show. Will,80
4081,104577,Olympic champions Justin Gatlin and Joanna Hayes won the 2004 Jesse Owens,40
3020,14588,NEW YORK - U.S stock futures were moving into,20
1746,85095,Reuters - Microsoft Corp. and cable television provider Comcast Corp.,40
150,59158,Ecclestone is understood to have entered Silverstone,20
2534,105798,"Rentokil warned yesterday that its profits would fall next year, sending shares in the rat-catching to security firm down by more than 5 per cent to a four-month low.",100
2238,96289,Reuters - U.S. Treasuries prices skidded lower on Friday after Federal Reserve Chairman Alan Greenspan said investors should be,80
1429,7570,"PC maker Gateway Inc. said on Sunday its new line of notebooks, desktop personal computers and monitors aimed at retail markets will be available at Micro Center 39;s 20 stores in the United States.",100
3508,64485,"It didn 39;t take long. First poll, first controversy. Or at least mini-controversy. If you had taken the wisdom of the two",80
2314,10757,"MOSCOW - Fight recorders have failed to provide reliable information about what brought down two Russian jetliners nearly simultaneously this week, killing 89 people, but that terrorism remained a leading possibility, a top official said today.",100
2200,65361,Spanish police have arrested eight,20
4225,1629,"NEW YORK, August 17 (New Ratings) The",20
2056,44591,Net phone service and,40
2486,584,"HAVEN, Wis. - Whistling",40
3021,14588,NEW YORK - U.S stock futures were moving into negative territory early Monday at the start of a,40
3988,45933,MINNEAPOLIS Cleveland Indians pitcher Kyle Denney says the go-go boots he was wearing may have prevented a bullet,80
3956,79215,The headline-grabbing rivalry between Shaquille O 39;Neal and Kobe Bryant,40
4914,20899,Shares of drugstore chain Rite Aid (NYSE: RAD) needed some bandages and maybe a smear of soothing ointment this morning as they were scraped by investors for a 13 drop.,100
2764,8692,Reuters - Wall Street was expected to rise on Tuesday as easing crude oil prices soothed fears of a squeeze on earnings and on a thin corporate menu investors will be able to chew over results from food group H.J. Heinz Co (HNZ.N).,100
3857,116308,"BAGHDAD (Reuters) - Iraq will put some of Saddam Hussein's top lieutenants on trial next week, a month before a national election",60
1313,63792,British Defense Secretary Geoff Hoonconfirmed on Monday that the British government was considering the US request to deploy troops,80
4042,28174,A group of satellites captures evidence of what scientists believe is the killing of a rare sea turtle.,60
971,1783,BRUSSELS One of 15 cardinals with Pope John Paul II during a weekend visit,40
876,88189,"As announced earlier, Microsoft today released the second beta",40
3961,45017,Ian Botham has urged the Government to step in and instruct the England cricket team to,40
505,96432,The source of intelligence used this,20
2553,8952,One of the largest financial institutions in Texas has drawn the attention of a New York banking giant. Bryan-based First American Bank SSB will,80
601,824,AP - Discount retailer Kmart Holding Corp. reported Monday that,40
3090,24173,The Vancouver Canucks re-signed twins,20
2446,15475,Dr. C. Erec Stebbins talks about using a,40
2222,83633,"Q: Through downsizing, attrition, and layoffs, I'm the only English-speaking person left on my team. My two remaining co-workers are naturalized citizens. They both have a wealth of experience and seem to do a terrific job.",60
3644,7474,"HOUSTON - After being plunked between the shoulders, Michael Barrett offered a few words of advice for Roy Oswalt when the Chicago Cubs and Houston Astros meet again next week.",100
2482,49055,Reuters - The absent member will be the one holding center-stage at a meeting in Hanoi of leaders of Asia and,60
2264,74346,"NEW YORK, October 27 (newratings.com) - Apple Computer (AAPL.NAS) has introduced a new version of its popular iPod digital music player, iPod Photo, with a capacity of 25,000 digital pictures and 15,000 songs.",100
2603,46242,Computers built with Advanced Micro Devices' Opteron processor soon will be able to take advantage of the same power management technology the company has already,80
140,63621,She rode into office three,20
4237,843,"NEW YORK (Reuters) - Allstate Corp. ;ALL.N;, the No. 2 U.S. home and auto insurer, on Monday",60
1494,6181,"AP - There are traces of Johnny Unitas, Dan Marino, Joe Montana and Steve Young in Peyton Manning, not to mention the DNA of dear old dad, Archie. They're all there in his arm, his accuracy, his eyes, his brains.",100
3063,97715,Firing his father led to a better performance for Shane Mosley against Winky Wright in their fight for the undisputed super,80
3676,27762,"SAN FRANCISCO (Reuters) - Oracle Corp. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote"";ORCL.O;/A; on Tuesday reported a 16 percent rise",40
2103,62123,"Because some antidepressant drugs have been shown to lead to suicidal thoughts among children and teens, the FDA decrees that all manufacturers must",80
3826,15593,Crowds of well wishers greet the,40
110,16099,"THE HAGUE, Aug. 31 -- Former Yugoslav",20
2001,21947,WASHINGTON (Reuters) - The U.S. economy is pulling out of a June soft patch,40
2945,72988,Reuters - Determined to make sure,20
2352,35446,"CHICAGO - The health benefits of regular walking may include helping prevent mental decline and Alzheimer's disease, research in patients aged 70 and up has found, bolstering evidence that exercise needn't be strenuous to be good for you. There's plenty",60
947,104544,Chinese Prime Minister Wen Jiabao has rejected pressure for exchange rate reforms and criticized the United,60
488,52445,"Google, the increasingly powerful internet search engine, could overhaul the way books are sold with a planned service that allows users to search",80
904,74555," NEW YORK (Reuters) - U.S. stocks rebounded on Wednesday  morning after the government reported a bigger-than-expected  rise in crude oil inventories last week, triggering a sharp  slide in oil prices.",100
1594,55487,"NASA says a false-color image taken by its Mars Exploration Rover Opportunity shows a rock dubbed  quot;Escher quot; whose fractures, which divide the surface into polygons, may have been formed when water left over from the rock 39;s formation dried up.",100
3553,42147,GAZA (Reuters) - Palestinian security forces were on Tuesday searching for an Israeli Arab producer for CNN television who was kidnapped,80
1275,36685,Lazard LLC said it 39;s completing an,20
4416,83093,The decision by the Football Association not to throw the book at Rio Ferdinand,40
4245,70315,Even after Israel withdraws from,20
3223,23040,The scattered tickets outside the Globe Arena told the story. There were no souvenirs from this one. In yet another important game that demanded the team be at,80
3309,34405,"JERUSALEM - Masked Palestinian gunmen killed a suspected collaborator in a public square in Tulkarem in the West Bank yesterday, throwing the bound man from their vehicle and shooting him before hundreds of schoolchildren and other onlookers, witnesses ",100
19,59891,"Apple announced on Wednesday that its quarterly profit more than doubled because of continued strong sales of iPod music players, beating Wall Street estimates by a wide margin",100
3662,107640,"After studying thousands of images from Mars, scientists now are convinced that liquid water once flowed on the surface of the",60
628,32170,"GRAND JUNCTION, Colo. (Sports Network) - NBC Sports chairman Dick Ebersol and his son Charlie were released from the hospital Monday, a week after surviving a charter plane crash",80
4822,79012,"216 years of publishing history ends on Monday, as The Times switches to a tabloid format. The decision to go fully compact - after trials",60
2162,97800,Iraq has set a date of 30 January 2005 for its first nationwide election since the toppling of,60
3574,91938,"NOVEMBER 15, 2004 (COMPUTERWORLD) - Novell Inc. last week filed an antitrust lawsuit alleging that Microsoft Corp. illegally tried to eliminate competition in the desktop applications market in the mid-1990s.",100
3798,112708,"MICHELLE COLLINS, of the United States, the former world indoor 200 metres champion, was suspended for eight years yesterday for drug abuse in a",80
98,106575,"No sooner than weve all got used to the idea of 3G services in the UK, mm02 has teamed up with NTT DoCoMo to allow 02 to launch the",80
3556,107345,Mike Fratello was hired as coach of the Memphis Grizzlies,40
959,18662,AP - Kay-Jay Harris rushed for a school-record 337 yards and four touchdowns to lead No. 10 West Virginia to a 56-23 victory over East Carolina on Saturday night.,100
4066,26413,PHILADELPHIA (Reuters) - A group headed by Sony Corp of America agreed in,40
4027,118994,Russian Foreign Minister Sergei Lavrov said Friday that the legal case against the country 39;s,60
3717,81545,"Newcastle United took control of Group D with a comfortable 2-0 win over Dynamo Tbilisi at St James 39; Park. Patrick Kluivert, Craig Bellamy and",60
1700,93467,"TAMPA, Fla. (Sports Network) - Tyler",20
2361,101156,West Indies may send a weakened squad to Australia for the forthcoming,40
1866,43221,"BRISTOL, Connecticut (Ticker) - Joe Gibbs and Bill Parcells are on opposite",40
2376,47649,Two bomb blasts minutes apart have killed at least 26 people and,40
2015,50368,As the number,20
466,91833,With Oracle 39;s (ORCL:Nasdaq - news - research) $24-a-share offer for PeopleSoft (PSFT:Nasdaq - news,40
2348,60252,"By VLADIMIR ISACHENKOV BAIKONUR, Kazakhstan (AP) -- A rocket carrying two Russian cosmonauts and an American astronaut to the international space station streaked into orbit on Thursday, the latest flight of a Russian",80
4841,71716,Kabul - Afghanistan 39;s vote count slowed as it drew to,40
267,107563,NEW YORK (Reuters) - The Curse of the Bambino may have ended this year but Babe Ruth proved to have plenty of clout at the auction table,60
4520,7250,The Italian will be,20
2756,10002,Canadian Press - WINNIPEG (CP) - A medium-security prison in Alberta has banned a,40
2752,5942,Gov. Arnold Schwarzenegger on Friday threw his support behind a bill to dramatically increase the number of California homes,60
452,78131,"When Jeffrey W Greenberg took the helm of notoriously secretive Marsh amp; McLennan Cos., a $12 billion financial-services company, on",60
122,86962,"The European Commission is to start monitoring China, Ukraine and Russia to see",60
4426,54181,The giant Diamond synchrotron being built,40
